instance,variant,seed,episode,service_rate,co2_kg
C101,Full,0,5,0.93,179.5824267548548
C101,Full,0,10,1.0,201.30548140048404
C101,Full,0,15,1.0,189.30055214066445
C101,Full,0,20,0.99,170.47937033625948
C101,Full,0,25,1.0,171.90679234479174
C101,Full,0,30,0.97,172.6908765257165
C101,Full,0,35,0.99,185.2887642015108
C101,Full,0,40,1.0,194.20550375471475
C101,Full,0,45,1.0,166.69834723896656
C101,Full,0,50,1.0,190.0994552050509
C101,Full,0,55,1.0,149.71678761144474
C101,Full,0,60,1.0,181.8707710159108
C101,Full,0,65,1.0,190.30882501273703
C101,Full,0,70,1.0,193.66134462481315
C101,Full,0,75,0.99,156.7986905865976
C101,Full,0,80,0.99,129.20365244498052
C101,Full,0,85,1.0,220.0754636067188
C101,Full,0,90,1.0,207.44422093956143
C101,Full,0,95,0.99,145.39294489709613
C101,Full,0,100,1.0,185.1084577724976
C101,Full,0,105,1.0,181.00280823511025
C101,Full,0,110,0.98,139.3319551733766
C101,Full,0,115,0.99,142.02533296172555
C101,Full,0,120,1.0,177.1637215135677
C101,Full,0,125,1.0,218.9845520896699
C101,Full,0,130,0.99,170.41635258813798
C101,Full,0,135,1.0,144.64513450689336
C101,Full,0,140,1.0,174.15676274750112
C101,Full,0,145,1.0,183.5951209492476
C101,Full,0,150,0.99,128.11673723378834
C101,Full,0,155,1.0,201.7843273075724
C101,Full,0,160,1.0,178.7171059485336
C101,Full,0,165,0.99,156.5029891837878
C101,Full,0,170,0.97,151.09709703685493
C101,Full,0,175,1.0,218.22880715457788
C101,Full,0,180,0.99,161.25558641521556
C101,Full,0,185,1.0,165.40816984100928
C101,Full,0,190,0.97,130.41839156575017
C101,Full,0,195,0.98,143.0130946778327
C101,Full,0,200,1.0,195.2789929758835
C101,Full,200,5,0.99,192.1597147662937
C101,Full,200,10,0.98,204.8677291533839
C101,Full,200,15,0.99,207.0257440742861
C101,Full,200,20,0.99,205.448830593119
