instance,variant,seed,seed_idx,n_customers,n_vehicles,bks_distance,n_served,service_rate,total_co2_kg,makespan,total_distance,runtime_s
C101,Full,0,0,100,25,828.9,100,1.0,177.82188440588246,1144.3605551275464,4098.894826609852,572.0110037326813
C101,Full,200,1,100,25,828.9,100,1.0,228.75298197408543,1144.3605551275464,4791.4892391893045,221.99141550064087
C101,Full,400,2,100,25,828.9,100,1.0,193.75329751482383,1144.3605551275464,4213.836545922266,497.1691689491272
C201,Full,3,0,100,25,589.1,100,1.0,226.7843550720364,3091.483321838944,4809.3707175566215,805.6916282176971
C201,Full,203,1,100,25,589.1,100,1.0,232.62416115312053,3209.4123105625617,4809.652053100241,658.2315189838409
C201,Full,403,2,100,25,589.1,100,1.0,250.1676924967433,3209.4123105625617,4801.698278974349,471.2002239227295
R101,Full,1,0,100,25,1645.9,100,1.0,162.89040096889795,198.4049691346264,3793.430588352824,503.3113324642181
R101,Full,201,1,100,25,1645.9,100,1.0,160.80054825908022,210.1811077027628,3844.6110713029,629.1314144134521
R101,Full,401,2,100,25,1645.9,100,1.0,170.01404732669909,210.1811077027628,3768.04582747658,519.9147942066193
RC101,Full,2,0,100,25,1696.9,100,1.0,279.4702243272258,202.1523154621173,5152.544455307791,536.1915349960327
RC101,Full,202,1,100,25,1696.9,100,1.0,277.4509124113624,190.39293765408777,5265.592091642939,450.06378197669983
RC101,Full,402,2,100,25,1696.9,100,1.0,275.47926863318725,202.1523154621173,4927.285000126774,447.8685109615326
C101,A1-NoGAT,0,0,100,25,828.9,100,1.0,166.6000470197295,1144.3605551275464,4120.511957839912,1655.881150484085
C101,A1-NoGAT,200,1,100,25,828.9,100,1.0,134.50572885491485,1087.316227766017,3879.084655493616,2896.8694446086884
C101,A1-NoGAT,400,2,100,25,828.9,100,1.0,133.73870447670478,1091.384187454246,3763.9722048371295,2297.685456752777
C201,A1-NoGAT,3,0,100,25,589.1,100,1.0,270.45532371460894,3209.4123105625617,5131.021481196013,2011.1237123012545
C201,A1-NoGAT,203,1,100,25,589.1,100,1.0,176.42625223088476,3187.486621002424,4361.2021406672775,2322.7845783233643
C201,A1-NoGAT,403,2,100,25,589.1,100,1.0,207.15466449182728,3209.4123105625617,4518.347955237482,2119.1414818763733
R101,A1-NoGAT,1,0,100,25,1645.9,100,1.0,166.76845864574787,210.1811077027628,3969.736087786281,2194.976471185684
R101,A1-NoGAT,201,1,100,25,1645.9,100,1.0,143.39156778646077,210.1811077027628,3725.989136355204,1880.3656508922577
R101,A1-NoGAT,401,2,100,25,1645.9,100,1.0,176.3585579675171,203.3305384426568,3977.283581461046,2009.819393157959
C101,A2-FixedEnt,0,0,100,25,828.9,11,0.11,32.78120047393096,822.26,583.3189616540067,39.2761824131012
