instance,lambda,seed,seed_idx,n_customers,n_served,service_rate,total_co2_kg,makespan,total_distance,runtime_s
C101,0.0,0,0,100,100,1.0,216.12541925655296,1144.3605551275464,4561.882129427899,137.25107336044312
C101,0.0,200,1,100,100,1.0,203.64162470180685,1144.3605551275464,4467.139996758971,157.77659344673157
C101,0.0,400,2,100,100,1.0,220.8617345393433,1144.3605551275464,4626.485473667912,155.9123592376709
C101,1.0,0,0,100,100,1.0,171.581597296992,1091.384187454246,4087.748955760492,295.4150516986847
C101,1.0,200,1,100,100,1.0,222.8630827041358,1087.316227766017,4455.070841598619,138.216224193573
C101,1.0,400,2,100,98,0.98,165.13103456007755,1004.2039607805438,3284.938603718593,234.65202403068545
C101,4.0,0,0,100,100,1.0,196.5409015610817,1087.316227766017,4388.239908843561,163.3972601890564
C101,4.0,200,1,100,100,1.0,210.6484251195768,1093.1266159019767,4656.396513794771,77.54292368888855
C101,4.0,400,2,100,100,1.0,203.44229802819888,1144.3605551275464,4626.644554039468,67.00216865539551
C101,10.0,0,0,100,100,1.0,220.9039221184487,1144.3605551275464,4466.346712354161,178.58076429367063
C101,10.0,200,1,100,100,1.0,224.3334325576294,1091.384187454246,4602.156093523549,98.6783323287964
C101,10.0,400,2,100,100,1.0,229.34486170188111,1087.316227766017,4685.781276193294,72.03337550163269
C101,25.0,0,0,100,100,1.0,209.20121650937523,1144.3605551275464,4417.846203781179,208.084977388382
C101,25.0,200,1,100,100,1.0,207.17169269650717,1091.384187454246,4640.915871812556,98.33468008041382
C101,25.0,400,2,100,100,1.0,192.51208114191985,1144.3605551275464,4545.330365663414,117.17694902420044
C201,0.0,3,0,100,100,1.0,215.20458491711543,3187.486621002424,4596.368255123922,224.2649025917053
C201,0.0,203,1,100,97,0.97,136.13205232116397,3209.4123105625617,3127.212500499091,243.3320355415344
C201,0.0,403,2,100,100,1.0,243.98024277064007,3187.486621002424,4842.1323644731765,204.39073419570923
C201,1.0,3,0,100,100,1.0,223.7124551805477,3187.486621002424,4806.685985304668,142.35045337677002
C201,1.0,203,1,100,100,1.0,235.94355711704875,3091.483321838944,4670.45253382205,165.78476071357727
C201,1.0,403,2,100,100,1.0,227.9671172659773,3187.486621002424,4726.3616753631295,209.81808948516849
C201,4.0,3,0,100,100,1.0,198.8338853999751,3091.483321838944,4663.533640976786,60.09532713890076
C201,4.0,203,1,100,100,1.0,236.5450579752359,3209.4123105625617,4672.768351621172,82.06066560745239
C201,4.0,403,2,100,100,1.0,235.8177776438551,3209.4123105625617,4643.038333568805,58.86351132392883
C201,10.0,3,0,100,100,1.0,242.279945798039,3091.483321838944,4855.603600721375,57.1196174621582
C201,10.0,203,1,100,100,1.0,214.49860261295305,3187.486621002424,4595.974282767966,77.38873291015625
C201,10.0,403,2,100,100,1.0,233.9649466431992,3187.486621002424,4962.972261234687,59.92644882202149
C201,25.0,3,0,100,100,1.0,265.6628691179302,3209.4123105625617,5001.421763326119,64.89275312423706
C201,25.0,203,1,100,100,1.0,228.1005901884967,3209.4123105625617,4998.438929869482,58.66647934913635
C201,25.0,403,2,100,100,1.0,235.11628742852716,3187.486621002424,4721.264701586295,53.05300807952881
R101,0.0,1,0,100,100,1.0,152.0000315392852,210.18110770276277,3861.82184440016,143.95348286628723
R101,0.0,201,1,100,100,1.0,208.4780844525439,198.40496913462636,4172.816047427719,107.83085703849792
R101,0.0,401,2,100,100,1.0,149.50587721702823,210.18110770276277,3989.124677509012,58.70930337905884
R101,1.0,1,0,100,100,1.0,148.22872961162744,210.18110770276277,3716.73797723285,170.02696990966797
R101,1.0,201,1,100,100,1.0,151.33676912939973,210.18110770276277,3747.801794837617,201.55370903015137
R101,1.0,401,2,100,100,1.0,156.63124521658182,210.18110770276277,3750.270957897344,239.506977558136
R101,4.0,1,0,100,100,1.0,179.8014708406099,210.18110770276277,4005.894105375938,47.64777064323425
R101,4.0,201,1,100,100,1.0,176.27595951856998,195.4808326112069,3821.6034481321576,191.56016278266907
R101,4.0,401,2,100,100,1.0,185.9023147794019,210.18110770276277,4007.3136799948807,59.87347364425659
R101,10.0,1,0,100,100,1.0,171.44182740259242,210.18110770276277,3954.7994530630094,73.32688307762146
R101,10.0,201,1,100,100,1.0,173.1324608900833,189.39395431207183,3987.259853524146,72.09056210517883
R101,10.0,401,2,100,100,1.0,178.25958295549106,198.40496913462636,4151.911753068516,67.04733800888062
R101,25.0,1,0,100,100,1.0,180.7116042598529,210.18110770276277,3985.392055370868,58.28052878379822
R101,25.0,201,1,100,100,1.0,188.5278904880762,210.18110770276277,4119.716952255983,127.96156406402588
R101,25.0,401,2,100,100,1.0,181.4567533780965,210.18110770276277,3986.903286911788,161.11735725402832
RC101,0.0,2,0,100,100,1.0,264.0607103451485,190.39293765408777,5212.419096122278,205.63445234298703
RC101,0.0,202,1,100,100,1.0,271.77213582122914,202.1523154621173,5138.7013646394535,85.7005569934845
RC101,0.0,402,2,100,100,1.0,262.25861230051987,190.38470768123344,5243.665723058483,100.36745023727416
RC101,1.0,2,0,100,100,1.0,269.41100416982914,202.1523154621173,5254.006955781608,248.2183620929718
RC101,1.0,202,1,100,100,1.0,248.5997385197536,202.1523154621173,5040.402432905394,173.9597191810608
RC101,1.0,402,2,100,100,1.0,221.80844022321983,190.39293765408777,4764.940885079735,211.5041596889496
RC101,4.0,2,0,100,100,1.0,302.20080195579067,202.1523154621173,5504.484471903741,89.75161290168762
