instance,method,co2_harmonized_kg
C101,NNH,181.24542619504464
C101,CWS,81.84279982961691
C101,ALNS,68.07537123338702
C101,AM,175.1545445418125
C101,POMO,166.30107358357444
C101,TD-Split,175.80063833024593
C102,NNH,231.79258199640265
C102,CWS,81.84279982961691
C102,ALNS,82.14578958203117
C102,AM,220.2475749266
C102,POMO,217.33807983626932
C102,TD-Split,218.11443403332916
C103,NNH,265.82532472556966
C103,CWS,81.84279982961691
C103,ALNS,82.77511961686548
C103,AM,266.7268735327758
C103,POMO,264.8300415641356
C103,TD-Split,265.5274884195223
C104,NNH,281.0589373091929
C104,CWS,81.84279982961691
C104,ALNS,91.57769892383403
C104,AM,277.60447190337027
C104,POMO,272.0308935495489
C104,TD-Split,297.5197269270239
C105,NNH,199.58867126217373
C105,CWS,81.84279982961691
C105,ALNS,74.43867586823886
C105,AM,198.0401579724711
C105,POMO,189.35001744503825
C105,TD-Split,196.73729730947005
C106,NNH,214.59512592464569
C106,CWS,81.84279982961691
C106,ALNS,77.86973028978178
C106,AM,213.3945340376957
C106,POMO,210.06240905485112
C106,TD-Split,204.93896981554656
C107,NNH,220.9371199817253
C107,CWS,81.84279982961691
C107,ALNS,81.25614090888054
C107,AM,220.69017044968345
C107,POMO,216.52612333273237
C107,TD-Split,223.5654741889855
C108,NNH,247.19423837039187
C108,CWS,81.84279982961691
C108,ALNS,87.92230002145526
C108,AM,232.0094570641223
C108,POMO,226.76439833735577
C108,TD-Split,235.394498529036
C109,NNH,274.3007293676715
C109,CWS,81.84279982961691
C109,ALNS,111.94975078176228
C109,AM,277.04222103175545
C109,POMO,262.7098041898027
C109,TD-Split,277.0853971514811
C201,NNH,244.66683811029617
C201,CWS,59.93747578318517
C201,ALNS,57.24024532410486
C201,AM,253.4979515582293
C201,POMO,234.7047259458764
C201,TD-Split,251.50107027365195
C202,NNH,263.5287442926468
C202,CWS,59.93747578318517
C202,ALNS,58.30820792410858
C202,AM,263.19897122260863
C202,POMO,242.27102019908108
C202,TD-Split,257.32399286827325
C203,NNH,261.61510419461274
C203,CWS,59.93747578318517
C203,ALNS,57.69186265677328
C203,AM,261.61510419461274
C203,POMO,244.73960244480548
C203,TD-Split,259.996612796052
C204,NNH,250.74528251712908
C204,CWS,59.93747578318517
C204,ALNS,57.830275073932064
C204,AM,256.3782397145524
C204,POMO,250.94474548332715
C204,TD-Split,253.4859475642541
C205,NNH,246.96083430262445
C205,CWS,59.93747578318517
C205,ALNS,58.24523971875767
C205,AM,247.06103986204928
C205,POMO,243.30505138375065
C205,TD-Split,245.7186898650016
C206,NNH,260.64100275997185
C206,CWS,59.93747578318517
C206,ALNS,65.95837238259507
C206,AM,261.1834471134388
