instance,class,method,n_customers,n_served,service_rate,total_co2_kg,makespan,total_distance,n_trucks_used,dropped,bks_distance,n_served_pre,co2_pre_kg,dist_pre,trucks_pre
C101,C,GAT-MARL-LS,100,100,1.0,146.39693549151335,1144.3605551275464,1618.623742039918,16,0,828.9,100,205.41927921944068,2334.290213534277,25
C102,C,GAT-MARL-LS,100,100,1.0,139.18247835507142,1187.107619805318,1485.5714867723125,12,0,828.9,100,256.0365624654718,2913.727316032974,25
C103,C,GAT-MARL-LS,100,100,1.0,105.9310778145808,1206.1936383335037,1086.4260255013155,10,0,828.1,100,219.29426757214736,2467.924935356342,21
C104,C,GAT-MARL-LS,100,100,1.0,130.41055863679225,1194.4113255017724,1399.2319592925842,12,0,822.9,100,249.6561055452608,2752.14825345202,20
C105,C,GAT-MARL-LS,100,100,1.0,163.88856873694164,1158.742899982919,1781.7086883133493,14,0,828.9,100,230.471536219106,2607.501333071029,25
C106,C,GAT-MARL-LS,100,100,1.0,131.98464147175312,1189.327048159267,1426.3478744548709,13,0,828.9,100,213.00201678252256,2419.872403276794,25
C107,C,GAT-MARL-LS,100,100,1.0,163.5083230471818,1127.9870481592668,1752.4913138028935,12,0,828.9,100,230.58099401811447,2606.502807699233,23
C108,C,GAT-MARL-LS,100,93,0.93,117.6413611343258,1196.7805551275464,1264.8865179541697,10,0,828.9,93,182.8653660992512,2062.101139146648,17
C109,C,GAT-MARL-LS,100,100,1.0,133.4440977233955,1214.4620931180164,1354.5299792738613,9,0,828.9,100,259.6548695986839,2886.372479919409,24
C201,C,GAT-MARL-LS,100,100,1.0,165.4500974444398,3299.6835981584595,1924.516737075582,16,0,591.6,100,258.7288097756104,3070.260283216493,25
C202,C,GAT-MARL-LS,100,100,1.0,161.1658772137928,3339.6172293239047,1835.4490713135624,12,0,591.6,100,303.46044536344647,3592.865648345165,25
C203,C,GAT-MARL-LS,100,100,1.0,119.91232293978388,3367.649333818881,1354.405521872019,8,0,591.2,100,326.3747364953512,3850.0879785029497,24
C204,C,GAT-MARL-LS,100,100,1.0,96.38234454605868,3307.1573541559937,1058.7548212768104,7,0,590.6,100,341.86692160346075,4026.926277512787,24
C205,C,GAT-MARL-LS,100,100,1.0,112.2764160466287,3174.4010939947675,1260.5738594375462,8,0,588.9,100,283.5105451396615,3353.5464572611727,25
