instance,class,n_customers,n_vehicles,bks_distance,method,makespan,total_co2_kg,total_distance,service_rate,n_served,workload_balance,battery_used_pct,runtime_s,gap_to_bks_pct
C101,C1,100,25,828.9,NNH,1144.3606,175.7308,2056.6933,0.67,67.0,139.7541,0.0,0.004,38.0577
C101,C1,100,25,828.9,CWS,2224.9643,81.8462,833.5086,1.0,100.0,293.4064,0.0,0.005,168.4237
C101,C1,100,25,828.9,ALNS,1182.4606,71.4728,789.7082,0.67,67.0,461.9678,0.0,2.0007,42.6542
C101,C1,100,25,828.9,AM,1144.3606,170.2226,1998.5359,0.64,64.0,140.197,0.0,0.0092,38.0577
C101,C1,100,25,828.9,POMO,1144.3606,161.9403,1910.7608,0.63,63.0,136.1476,0.0,0.0692,38.0577
C101,C1,100,25,828.9,TD-Split,1144.3606,170.7535,2150.6783,0.67,67.0,262.7327,44.4351,0.0049,38.0577
C101,C1,100,25,828.9,GAT-MARL,1144.3606,181.0782,4384.2835,1.0,100.0,410.4614,113.9991,1117.6503,38.0577
C102,C1,100,25,828.9,NNH,1187.4645,222.6681,2598.1055,0.83,83.0,195.4058,0.0,0.005,43.2579
C102,C1,100,25,828.9,CWS,2224.9643,81.8462,833.5086,1.0,100.0,332.617,0.0,0.005,168.4237
C102,C1,100,25,828.9,ALNS,1181.4006,79.593,842.7244,0.83,83.0,474.459,0.0,2.8526,42.5263
C102,C1,100,25,828.9,AM,1187.4645,212.295,2480.8123,0.8,80.0,199.8527,0.0,0.0112,43.2579
C102,C1,100,25,828.9,POMO,1187.4645,210.2016,2458.7786,0.78,78.0,186.3114,0.0,0.07,43.2579
C102,C1,100,25,828.9,TD-Split,1187.4645,211.3006,2611.5087,0.83,83.0,278.9996,44.4351,0.004,43.2579
C102,C1,100,25,828.9,GAT-MARL,1006.3162,244.193,4740.8513,1.0,100.0,372.499,97.5702,611.6027,21.4038
C103,C1,100,25,828.1,NNH,1187.3141,255.5385,2962.1537,0.93,93.0,226.9481,0.0,0.007,43.3781
C103,C1,100,25,828.1,CWS,2088.4319,81.8462,833.5086,1.0,100.0,338.654,0.0,0.0052,152.1956
C103,C1,100,25,828.1,ALNS,1185.9055,84.8384,878.8665,0.93,93.0,487.9019,0.0,3.13,43.208
C103,C1,100,25,828.1,AM,1187.3141,256.2483,2972.016,0.92,92.0,232.8045,0.0,0.0085,43.3781
C103,C1,100,25,828.1,POMO,1187.3141,255.1674,2961.1942,0.92,92.0,216.1335,0.0,0.0703,43.3781
C103,C1,100,25,828.1,TD-Split,1187.3141,255.3481,3104.5681,0.93,93.0,291.7219,44.4351,0.0024,43.3781
C103,C1,100,25,828.1,GAT-MARL,994.1383,282.7177,4638.1954,1.0,100.0,348.3666,71.221,778.0814,20.0505
C104,C1,100,25,822.9,NNH,1186.8472,269.5179,3116.8494,0.97,97.0,245.0152,0.0,0.0053,44.2274
C104,C1,100,25,822.9,CWS,1554.248,81.8462,833.5086,1.0,100.0,211.8455,0.0,0.005,88.8745
C104,C1,100,25,822.9,ALNS,1177.5683,84.9495,876.0527,0.97,97.0,495.5444,0.0,4.4662,43.0998
C104,C1,100,25,822.9,AM,1186.8472,265.9357,3074.7963,0.97,97.0,240.5803,0.0,0.012,44.2274
C104,C1,100,25,822.9,POMO,1186.8472,260.5221,3015.1593,0.97,97.0,240.6619,0.0,0.0887,44.2274
C104,C1,100,25,822.9,TD-Split,1186.8472,285.0725,3445.3452,0.97,97.0,280.835,44.4351,0.0034,44.2274
C104,C1,100,25,822.9,GAT-MARL,1184.9732,258.6104,4589.955,1.0,100.0,332.9155,84.9804,615.2559,43.9997
C105,C1,100,25,828.9,NNH,1072.3606,192.4057,2252.1877,0.71,71.0,148.4924,0.0,0.0055,29.3715
C105,C1,100,25,828.9,CWS,2152.9643,81.8462,833.5086,1.0,100.0,289.5987,0.0,0.007,159.7375
C105,C1,100,25,828.9,ALNS,1160.2415,70.6916,755.3502,0.71,71.0,480.1891,0.0,3.5024,39.9736
C105,C1,100,25,828.9,AM,1072.3606,191.5175,2242.8826,0.7,70.0,143.7349,0.0,0.008,29.3715
C105,C1,100,25,828.9,POMO,1072.3606,183.5426,2153.3841,0.68,68.0,137.3242,0.0,0.1065,29.3715
C105,C1,100,25,828.9,TD-Split,1072.3606,189.9108,2369.5941,0.72,72.0,258.1868,44.4351,0.007,29.3715
C105,C1,100,25,828.9,GAT-MARL,1072.3606,192.4658,4241.6457,1.0,100.0,407.8151,100.0253,1243.4049,29.3715
C106,C1,100,25,828.9,NNH,1098.7265,206.9602,2419.8136,0.72,72.0,140.2784,0.0,0.0031,32.5524
C106,C1,100,25,828.9,CWS,2056.4319,81.8462,833.5086,1.0,100.0,290.3842,0.0,0.005,148.0917
C106,C1,100,25,828.9,ALNS,1214.3402,76.8665,826.8298,0.72,72.0,472.5634,0.0,2.1029,46.5002
C106,C1,100,25,828.9,AM,1098.7265,205.5153,2403.894,0.72,72.0,147.4192,0.0,0.0091,32.5524
C106,C1,100,25,828.9,POMO,1098.7265,202.9352,2374.5731,0.7,70.0,149.5611,0.0,0.0614,32.5524
C106,C1,100,25,828.9,TD-Split,1098.7265,197.9803,2468.323,0.71,71.0,258.5389,44.4351,0.004,32.5524
C106,C1,100,25,828.9,GAT-MARL,1007.3842,210.2758,4676.1941,1.0,100.0,391.9614,111.9145,847.7827,21.5327
